,date,md
0,2024-12-01,0
1,2024-12-02,-115.73005465600035
2,2024-12-03,-22.59567881600029
3,2024-12-04,-11.921401407999936
4,2024-12-05,-612.0658352639995
5,2024-12-06,-13.5376922559999
6,2024-12-07,0
7,2024-12-08,0
8,2024-12-09,-71.12739500800001
9,2024-12-10,-84.78169055999994
10,2024-12-11,-37.926519904000266
11,2024-12-12,0
12,2024-12-13,0
13,2024-12-14,0
14,2024-12-15,0
15,2024-12-16,-12.729405631999953
16,2024-12-17,0
17,2024-12-18,-45.71046617599973
18,2024-12-19,-8.27247654399991
19,2024-12-20,-137.2718601919996
20,2024-12-21,0
21,2024-12-22,-3.38520496
22,2024-12-23,-75.51500620800024
23,2024-12-24,-48.26192131199971
24,2024-12-25,0
25,2024-12-26,-73.92373849600044
26,2024-12-27,-15.384601952000114
