,date,pnl
0,2024-12-01,0
1,2024-12-02,12.79169760000001
2,2024-12-03,-8.994275424000216
3,2024-12-04,-4.7500623680000995
4,2024-12-05,-204.8036051839997
5,2024-12-06,22.48800015999997
6,2024-12-07,0
7,2024-12-08,0
8,2024-12-09,115.42707059200038
9,2024-12-10,-48.69769276799951
10,2024-12-11,1.5460145919998496
11,2024-12-12,0
12,2024-12-13,0
13,2024-12-14,0
14,2024-12-15,0
15,2024-12-16,20.673077088000046
16,2024-12-17,0
17,2024-12-18,64.38090816000046
18,2024-12-19,20.976669472000204
19,2024-12-20,-126.19794278399925
20,2024-12-21,0
21,2024-12-22,7.606107231999994
22,2024-12-23,-46.00544752000029
23,2024-12-24,1.0277207360001235
24,2024-12-25,0
25,2024-12-26,-20.270364160000057
26,2024-12-27,10.473722240000448
